Brand,Model_No,SubmitStatus,Config,Country,Power Input (kW),Cooling Capacity (kW),Refrigerant,Type,Variable Output Compressor,IMG
PIONEER INTERNATIONAL,VPC-48D1/CPE-48A1,Approved,Ducted,Australia;China,3.86,14.1,M60,Reverse Cycle,TRUE,http://via.placeholder.com/150/c9d74102b04e?text=PIONEER INTERNATIONALVPC-48D1/CPE-48A1
PIONEER INTERNATIONAL,VPC-48D1/VPE-48A1,Approved,Ducted,Australia;China,3.86,14.1,M60,Reverse Cycle,TRUE,http://via.placeholder.com/150/d0a332394c8c?text=PIONEER INTERNATIONALVPC-48D1/VPE-48A1
PANASONIC,S-100PE1R5B/U-100PZ2R5,Approved,Ducted,Malaysia,3,10,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/bae2aa412f64?text=PANASONICS-100PE1R5B/U-100PZ2R5
PANASONIC,S-100PF1E5B/U-100PZ2R5,Approved,Ducted,Malaysia,2.73,10,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/59542c0c8dfe?text=PANASONICS-100PF1E5B/U-100PZ2R5
PANASONIC,S-125PU2E5B/U-125PZ2R5,Approved,Non Ducted,Malaysia,3.49,12.5,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/de28bc251bba?text=PANASONICS-125PU2E5B/U-125PZ2R5
PANASONIC,S-125PT2E5B/U-125PZ2R5,Approved,Non Ducted,Malaysia,3.76,12.5,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/89a336760589?text=PANASONICS-125PT2E5B/U-125PZ2R5
PANASONIC,S-125PE1R5B/U-125PZ2R5,Approved,Ducted,Malaysia,3.79,12.5,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/4c674af4694b?text=PANASONICS-125PE1R5B/U-125PZ2R5
PANASONIC,S-125PF1E5B/U-125PZ2R5,Approved,Ducted,Malaysia,3.55,12.5,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/e351fcf7527c?text=PANASONICS-125PF1E5B/U-125PZ2R5
PANASONIC,S-140PU2E5B/U-140PZ2R5,Approved,Non Ducted,Malaysia,4.34,14,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/f645c299919c28?text=PANASONICS-140PU2E5B/U-140PZ2R5
PANASONIC,S-140PT2E5B/U-140PZ2R5,Approved,Non Ducted,Malaysia,4.32,13.6,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/c401a215a07de?text=PANASONICS-140PT2E5B/U-140PZ2R5
