School Number,School Name,Suburb,Post code,Type of Schooling,Index of Educational Disadvantage,Latitude,Longitude
135,Flinders Park Primary School,Flinders Park,5025,Primary Education,5,-34.911103,138.54754
1396,Flinders View Primary School,Port Augusta West,5700,Primary Education,1,-32.472843,137.753921
658,Forbes Primary School,South Plympton,5038,Primary Education,4,-34.978139,138.557598
138,Frances Primary School,Frances,5262,Primary Education,5,-36.708483,140.956465
1382,Fraser Park Primary School,Murray Bridge,5253,Primary Education,1,-35.140404,139.281525
139,Freeling Primary School,Freeling,5372,Primary Education,4,-34.457842,138.811414
1196,Fregon Anangu School,Fregon,872,Aboriginal/Anangu Schools,1,-26.765131,132.028295
934,Fulham Gardens Primary School,Henley Beach,5022,Primary Education,4,-34.912392,138.503289
1166,Fulham North Primary School,Henley Beach,5022,Primary Education,6,-34.919552,138.505142
774,Gawler and District College B-12,Evanston,5116,Primary/Secondary Combined,3,-34.619476,138.736184
1008,Gawler East Primary School,Gawler East,5118,Primary Education,6,-34.598085,138.761294
141,Gawler Primary School,Gawler,5118,Primary Education,3,-34.597541,138.740692
145,Geranium Primary School,Geranium,5301,Primary Education,6,-35.379183,140.160086
120,Gilles Street Primary School,Adelaide,5000,Primary Education,6,-34.93449,138.604464
775,Gladstone High School,Gladstone,5473,Secondary Education,4,-33.275577,138.35211
147,Gladstone Primary School,Gladstone,5473,Primary Education,2,-33.266137,138.350584
152,Glen Osmond Primary School,Myrtle Bank,5064,Primary Education,7,-34.957051,138.637255
148,Glenburnie Primary School,Glenburnie,5291,Primary Education,7,-37.84041,140.863876
1217,Glencoe Central Primary School,Glencoe,5291,Primary Education,5,-37.669641,140.594383
1017,Glenelg Primary School,Glenelg East,5045,Primary Education,6,-34.984803,138.521418
927,Glenunga International High School,Glenunga,5064,Secondary Education,7,-34.949336,138.635192
776,Glossop High School,Glossop,5344,Secondary Education,4,-34.2748,140.535148
153,Glossop Primary Community School K-7,Glossop,5344,Primary Education,4,-34.271342,140.524768
1834,Golden Grove High School,Golden Grove,5125,Secondary Education,6,-34.792874,138.696789
1848,Golden Grove Primary School,Golden Grove,5125,Primary Education,6,-34.786332,138.708915
156,Goodwood Primary School,Goodwood,5034,Primary Education,7,-34.951478,138.588905
157,Goolwa Primary School,Goolwa,5214,Primary Education,3,-35.497553,138.780252
1645,Gordon Education Centre,Mount Gambier,5290,Special Education,4,-37.825123,140.768224
1022,Grange Primary School,Grange,5022,Primary Education,6,-34.903495,138.497089
928,Grant High School,Mount Gambier,5290,Secondary Education,4,-37.84719,140.796014
160,Greenock Primary School,Greenock,5360,Primary Education,6,-34.459939,138.921793
1858,Greenwith Primary School,Greenwith,5125,Primary Education,6,-34.77021,138.720617
1201,Gulfview Heights Primary School,Gulfview Heights,5096,Primary Education,5,-34.792078,138.668666
162,Gumeracha Primary School,Gumeracha,5233,Primary Education,7,-34.824981,138.880956
1066,Hackham East Primary School,Hackham,5163,Primary Education,3,-35.140077,138.534755
1131,Hackham West R-7 School,Hackham West,5163,Primary Education,1,-35.144159,138.517588
163,Hahndorf Primary School,Hahndorf,5245,Primary Education,7,-35.027474,138.810676
1053,Hallett Cove East Primary School,Hallett Cove,5158,Primary Education,7,-35.071138,138.517181
640,Hallett Cove School,Hallett Cove,5158,Primary/Secondary Combined,6,-35.075965,138.511116
1054,Hallett Cove South Primary School,Hallett Cove,5158,Primary Education,6,-35.082581,138.503953
823,Hamilton Secondary College,Mitchell Park,5043,Secondary Education,4,-34.99837,138.560781
167,Hamley Bridge Primary School,Hamley Bridge,5401,Primary Education,3,-34.354776,138.684713
689,Hampstead Primary School,Greenacres,5086,Primary Education,2,-34.870813,138.625981
171,Happy Valley Primary School,Happy Valley,5159,Primary Education,6,-35.086923,138.583583
175,Hawker Area School,Hawker,5434,Primary/Secondary Combined,2,-31.89042,138.427892
972,Hawthorndene Primary School,Hawthorndene,5051,Primary Education,7,-35.020774,138.636088
926,Heathfield High School,Heathfield,5153,Secondary Education,7,-35.020536,138.712609
176,Heathfield Primary School,Heathfield,5153,Primary Education,7,-35.029961,138.727279
670,Hendon Primary School,Royal Park,5014,Primary Education,3,-34.877824,138.510886
177,Henley Beach Primary School,Henley Beach South,5022,Primary Education,6,-34.929734,138.499429
809,Henley High School,Henley Beach,5022,Secondary Education,6,-34.923383,138.500356
1876,Hewett Primary School,Hewett,5118,Primary Education,6,-34.575557,138.750309
596,Highbury Primary School,Hope Valley,5090,Primary Education,7,-34.847954,138.709995
1063,Highgate School,Highgate,5063,Primary Education,7,-34.962788,138.622561
665,Hillcrest Primary School,Hillcrest,5086,Primary Education,4,-34.866383,138.638678
938,Hincks Avenue Primary School,Whyalla Norrie,5608,Primary Education,2,-33.018515,137.544825
1067,Huntfield Heights Primary School,Huntfield Heights,5163,Primary Education,2,-35.153156,138.516924
1174,Indulkana Anangu School,Indulkana,872,Aboriginal/Anangu Schools,1,-26.965604,133.310547
925,Ingle Farm East Primary School,Ingle Farm,5098,Primary Education,3,-34.833826,138.651948
1162,Ingle Farm Primary School,Ingle Farm,5098,Primary Education,2,-34.827631,138.643207
777,Jamestown Community School,Jamestown,5491,Primary/Secondary Combined,5,-33.204904,138.609566
194,Jervois Primary School,Jervois,5259,Primary Education,5,-35.266177,139.437094
1901,John Hartley School (B-7),Smithfield Plains,5114,Primary Education,1,-34.680413,138.673586
792,John Pirie Secondary School,Port Pirie,5540,Secondary Education,2,-33.183024,138.010153
778,Kadina Memorial School,Kadina,5554,Primary/Secondary Combined,3,-33.960031,137.71013
197,Kalangadoo Primary School,Kalangadoo,5278,Primary Education,4,-37.564684,140.695568
198,Kangarilla Primary School,Kangarilla,5157,Primary Education,7,-35.147815,138.659484
957,Kangaroo Inn Area School,Kangaroo Inn,5280,Primary/Secondary Combined,6,-37.337672,140.244361
1882,Kangaroo Island Community Education,Kingscote,5223,Primary/Secondary Combined,5,-35.650387,137.633343
779,Kapunda High School,Kapunda,5373,Secondary Education,5,-34.332945,138.910495
200,Kapunda Primary School,Kapunda,5373,Primary Education,5,-34.337884,138.918053
1123,Karcultaby Area School,Karcultaby,5654,Primary/Secondary Combined,6,-32.760589,134.973839
756,Karoonda Area School,Karoonda,5307,Primary/Secondary Combined,5,-35.092167,139.89422
1135,Karrendi Primary School,Parafield Gardens,5107,Primary Education,3,-34.790544,138.618502
1792,Kaurna Plains School,Elizabeth,5112,Aboriginal/Anangu Schools,1,-34.725693,138.664561
757,Keith Area School,Keith,5267,Primary/Secondary Combined,5,-36.099603,140.351249
1847,Keithcot Farm Primary School,Wynn Vale,5127,Primary Education,6,-34.800056,138.676961
632,Keller Road Primary School,Salisbury East,5109,Primary Education,3,-34.792341,138.656283
1696,Kenmore Park Anangu School,Kenmore Park,872,Aboriginal/Anangu Schools,1,-26.326899,132.446178
204,Kersbrook Primary School,Kersbrook,5231,Primary Education,7,-34.782369,138.849721
205,Keyneton Primary School,Keyneton,5353,Primary Education,6,-34.554333,139.1338
996,Kidman Park Primary School,Kidman Park,5025,Primary Education,6,-34.912517,138.52471
