Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,No. of confirmed- probable and suspected cases,No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,No. of confirmed-probable and suspected deaths
Sierra Leone,31/12/2014,1805,287,7354,9446,158,208,2392,2758
Mali,31/12/2014,0,1,7,8,0,0,0,6
Nigeria,31/12/2014,0,1,19,20,0,1,7,8
United States of America,31/12/2014,0,0,4,4,0,0,1,1
Guinea,31/12/2014,34,276,2397,2707,0,276,1433,1709
Nigeria,2/01/2015,0,1,19,20,0,1,7,8
Spain,2/01/2015,0,0,1,1,0,0,0,0
United States of America,2/01/2015,0,0,4,4,0,0,1,1
Senegal,2/01/2015,0,0,1,1,0,0,0,0
United Kingdom,2/01/2015,0,0,1,0,0,0,0,0
Liberia,2/01/2015,3132,1776,3110,8018,0,0,0,3423
Sierra Leone,2/01/2015,1870,287,7476,9633,158,208,2461,2827
Mali,2/01/2015,0,1,7,8,0,0,0,6
Guinea,2/01/2015,19,276,2435,2730,0,276,1463,1739
Sierra Leone,5/01/2015,1915,287,7570,9772,158,208,2549,2915
Liberia,5/01/2015,3198,1805,3116,8115,0,0,0,3471
Spain,5/01/2015,0,0,1,1,0,0,0,0
Nigeria,5/01/2015,0,1,19,20,0,1,7,8
United Kingdom,5/01/2015,0,0,1,0,0,0,0,0
Guinea,5/01/2015,26,280,2465,2769,0,280,1488,1767
United States of America,5/01/2015,0,0,4,4,0,0,1,1
Mali,5/01/2015,0,1,7,8,0,0,0,6
Senegal,5/01/2015,0,0,1,1,0,0,0,0
United Kingdom,6/01/2015,0,0,1,1,0,0,0,0
Guinea,6/01/2015,22,282,2471,2775,0,282,1499,1781
Sierra Leone,6/01/2015,1819,287,7602,9780,158,208,2577,2943
Liberia,6/01/2015,3223,1816,3118,8157,0,0,0,3496
Spain,6/01/2015,0,0,1,1,0,0,0,0
United States of America,6/01/2015,0,0,4,4,0,0,1,1
Senegal,6/01/2015,0,0,1,1,0,0,0,0
Nigeria,6/01/2015,0,1,19,20,0,1,7,8
Mali,6/01/2015,0,1,7,8,0,0,0,6
Spain,7/01/2015,0,0,1,1,0,0,0,0
Guinea,7/01/2015,22,282,2471,2775,0,282,1499,1781
Senegal,7/01/2015,0,0,1,1,0,0,0,0
Nigeria,7/01/2015,0,1,19,20,0,1,7,8
United Kingdom,7/01/2015,0,0,1,1,0,0,0,0
