Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,No. of confirmed- probable and suspected cases,No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,No. of confirmed-probable and suspected deaths
Liberia,10/07/2015,5636,1879,3151,10666,0,0,0,4806
Nigeria,13/07/2015,0,1,19,20,0,1,7,8
Liberia,13/07/2015,5636,1879,3151,10666,0,0,0,4806
Spain,13/07/2015,0,0,1,1,0,0,0,0
Liberia,13/07/2015,0,1,5,6,0,0,1,1
Senegal,13/07/2015,0,0,1,1,0,0,0,0
Mali,13/07/2015,0,1,7,8,0,0,0,6
United Kingdom,13/07/2015,0,0,1,1,0,0,0,0
United States of America,13/07/2015,0,0,4,4,0,0,1,1
Guinea,13/07/2015,5,450,3299,3754,0,450,2056,2506
Italy,13/07/2015,0,0,1,1,0,0,0,0
Sierra Leone,13/07/2015,4227,287,8687,13201,158,208,3580,3946
Senegal,14/07/2015,0,0,1,1,0,0,0,0
United Kingdom,14/07/2015,0,0,1,1,0,0,0,0
Liberia,14/07/2015,0,1,6,7,0,0,2,2
Guinea,14/07/2015,10,450,3300,3760,0,450,2056,2506
Spain,14/07/2015,0,0,1,1,0,0,0,0
Liberia,14/07/2015,5636,1879,3151,10666,0,0,0,4806
Mali,14/07/2015,0,1,7,8,0,0,0,6
Italy,14/07/2015,0,0,1,1,0,0,0,0
United States of America,14/07/2015,0,0,4,4,0,0,1,1
Sierra Leone,14/07/2015,4234,287,8688,13209,158,208,3581,3947
Nigeria,14/07/2015,0,1,19,20,0,1,7,8
Spain,15/07/2015,0,0,1,1,0,0,0,0
Nigeria,15/07/2015,0,1,19,20,0,1,7,8
Italy,15/07/2015,0,0,1,1,0,0,0,0
United Kingdom,15/07/2015,0,0,1,1,0,0,0,0
United States of America,15/07/2015,0,0,4,4,0,0,1,1
Guinea,15/07/2015,10,450,3300,3760,0,450,2056,2506
Liberia,15/07/2015,5636,1879,3151,10666,0,0,0,4806
Liberia,15/07/2015,0,1,6,7,0,0,2,2
Mali,15/07/2015,0,1,7,8,0,0,0,6
Sierra Leone,15/07/2015,4234,287,8688,13209,158,208,3581,3947
Senegal,15/07/2015,0,0,1,1,0,0,0,0
Mali,16/07/2015,0,1,7,8,0,0,0,6
Italy,16/07/2015,0,0,1,1,0,0,0,0
Guinea,16/07/2015,8,450,3304,3762,0,450,2056,2506
Liberia,16/07/2015,5636,1879,3151,10666,0,0,0,4806
Spain,16/07/2015,0,0,1,1,0,0,0,0
United Kingdom,16/07/2015,0,0,1,1,0,0,0,0
Senegal,16/07/2015,0,0,1,1,0,0,0,0
United States of America,16/07/2015,0,0,4,4,0,0,1,1
Liberia,16/07/2015,0,0,6,6,0,0,2,2
Sierra Leone,16/07/2015,4234,287,8688,13209,158,208,3581,3947
Nigeria,16/07/2015,0,1,19,20,0,1,7,8
United States of America,17/07/2015,0,0,4,4,0,0,1,1
Liberia,17/07/2015,5636,1879,3151,10666,0,0,0,4806
United Kingdom,17/07/2015,0,0,1,1,0,0,0,0
Guinea,17/07/2015,10,450,3310,3770,0,450,2059,2509
Italy,17/07/2015,0,0,1,1,0,0,0,0
Nigeria,17/07/2015,0,1,19,20,0,1,7,8
Liberia,17/07/2015,0,1,6,7,0,0,2,2
Mali,17/07/2015,0,1,7,8,0,0,0,6
Spain,17/07/2015,0,0,1,1,0,0,0,0
Senegal,17/07/2015,0,0,1,1,0,0,0,0
Sierra Leone,17/07/2015,4234,287,8688,13209,158,208,3581,3947
Nigeria,20/07/2015,0,1,19,20,0,1,7,8
Liberia,20/07/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,20/07/2015,0,0,1,1,0,0,0,0
Guinea,20/07/2015,12,450,3322,3784,0,450,2061,2511
United Kingdom,20/07/2015,0,0,1,1,0,0,0,0
United States of America,20/07/2015,0,0,4,4,0,0,1,1
Liberia,20/07/2015,0,1,6,7,0,0,2,2
Italy,20/07/2015,0,0,1,1,0,0,0,0
Sierra Leone,20/07/2015,4262,287,8692,13241,158,208,3583,3949
Mali,20/07/2015,0,1,7,8,0,0,0,6
Spain,20/07/2015,0,0,1,1,0,0,0,0
Liberia,21/07/2015,0,1,6,7,0,0,2,2
Guinea,21/07/2015,11,450,3322,3783,0,450,2062,2512
United States of America,21/07/2015,0,0,4,4,0,0,1,1
Sierra Leone,21/07/2015,4271,287,8692,13250,158,208,3583,3949
United Kingdom,21/07/2015,0,0,1,1,0,0,0,0
Spain,21/07/2015,0,0,1,1,0,0,0,0
Liberia,21/07/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,21/07/2015,0,0,1,1,0,0,0,0
Mali,21/07/2015,0,1,7,8,0,0,0,6
Nigeria,21/07/2015,0,1,19,20,0,1,7,8
Italy,21/07/2015,0,0,1,1,0,0,0,0
Sierra Leone,22/07/2015,4271,287,8692,13250,158,208,3583,3949
Spain,22/07/2015,0,0,1,1,0,0,0,0
Guinea,22/07/2015,11,450,3322,3783,0,450,2062,2512
Nigeria,22/07/2015,0,1,19,20,0,1,7,8
Italy,22/07/2015,0,0,1,1,0,0,0,0
Liberia,22/07/2015,0,0,6,6,0,0,2,2
Senegal,22/07/2015,0,0,1,1,0,0,0,0
United States of America,22/07/2015,0,0,4,4,0,0,1,1
Liberia,22/07/2015,5636,1879,3151,10666,0,0,0,4806
Mali,22/07/2015,0,1,7,8,0,0,0,6
United Kingdom,22/07/2015,0,0,1,1,0,0,0,0
United States of America,23/07/2015,0,0,4,4,0,0,1,1
Spain,23/07/2015,0,0,1,1,0,0,0,0
Sierra Leone,23/07/2015,4282,287,8693,13262,158,208,3583,3949
Guinea,23/07/2015,13,450,3325,3788,0,450,2066,2516
Liberia,23/07/2015,5636,1879,3151,10666,0,0,0,4806
United Kingdom,23/07/2015,0,0,1,1,0,0,0,0
Nigeria,23/07/2015,0,1,19,20,0,1,7,8
Mali,23/07/2015,0,1,7,8,0,0,0,6
Senegal,23/07/2015,0,0,1,1,0,0,0,0
Liberia,23/07/2015,0,1,6,7,0,0,2,2
Italy,23/07/2015,0,0,1,1,0,0,0,0
United States of America,24/07/2015,0,0,4,4,0,0,1,1
Liberia,24/07/2015,0,1,6,7,0,0,2,2
Mali,24/07/2015,0,1,7,8,0,0,0,6
Liberia,24/07/2015,5636,1879,3151,10666,0,0,0,4806
Sierra Leone,24/07/2015,4284,287,8693,13264,158,208,3583,3949
Italy,24/07/2015,0,0,1,1,0,0,0,0
Senegal,24/07/2015,0,0,1,1,0,0,0,0
Guinea,24/07/2015,11,451,3325,3787,0,451,2066,2517
Nigeria,24/07/2015,0,1,19,20,0,1,7,8
Spain,24/07/2015,0,0,1,1,0,0,0,0
United Kingdom,24/07/2015,0,0,1,1,0,0,0,0
Spain,27/07/2015,0,0,1,1,0,0,0,0
Mali,27/07/2015,0,1,7,8,0,0,0,6
Senegal,27/07/2015,0,0,1,1,0,0,0,0
Nigeria,27/07/2015,0,1,19,20,0,1,7,8
Liberia,27/07/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,27/07/2015,0,0,4,4,0,0,1,1
Guinea,27/07/2015,16,451,3325,3792,0,451,2068,2519
United Kingdom,27/07/2015,0,0,1,1,0,0,0,0
Italy,27/07/2015,0,0,1,1,0,0,0,0
Liberia,27/07/2015,0,1,6,7,0,0,2,2
Sierra Leone,27/07/2015,4302,287,8694,13283,158,208,3585,3951
United States of America,28/07/2015,0,0,4,4,0,0,1,1
Spain,28/07/2015,0,0,1,1,0,0,0,0
Mali,28/07/2015,0,1,7,8,0,0,0,6
United Kingdom,28/07/2015,0,0,1,1,0,0,0,0
Sierra Leone,28/07/2015,4309,287,8694,13290,158,208,3585,3951
Guinea,28/07/2015,9,451,3326,3786,0,451,2069,2520
Nigeria,28/07/2015,0,1,19,20,0,1,7,8
Senegal,28/07/2015,0,0,1,1,0,0,0,0
Italy,28/07/2015,0,0,1,1,0,0,0,0
Liberia,28/07/2015,5636,1879,3151,10666,0,0,0,4806
Liberia,28/07/2015,0,1,6,7,0,0,2,2
Nigeria,29/07/2015,0,1,19,20,0,1,7,8
Sierra Leone,29/07/2015,4309,287,8694,13290,158,208,3585,3951
Liberia,29/07/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,29/07/2015,0,0,4,4,0,0,1,1
Senegal,29/07/2015,0,0,1,1,0,0,0,0
Liberia,29/07/2015,0,0,6,6,0,0,2,2
Spain,29/07/2015,0,0,1,1,0,0,0,0
Mali,29/07/2015,0,1,7,8,0,0,0,6
United Kingdom,29/07/2015,0,0,1,1,0,0,0,0
Italy,29/07/2015,0,0,1,1,0,0,0,0
Guinea,29/07/2015,9,451,3326,3786,0,451,2069,2520
Guinea,30/07/2015,7,452,3326,3785,0,452,2069,2521
Senegal,30/07/2015,0,0,1,1,0,0,0,0
Spain,30/07/2015,0,0,1,1,0,0,0,0
Mali,30/07/2015,0,1,7,8,0,0,0,6
Sierra Leone,30/07/2015,4398,287,8694,13379,158,208,3585,3951
Nigeria,30/07/2015,0,1,19,20,0,1,7,8
Italy,30/07/2015,0,0,1,1,0,0,0,0
United States of America,30/07/2015,0,0,4,4,0,0,1,1
Liberia,30/07/2015,0,0,6,6,0,0,2,2
United Kingdom,30/07/2015,0,0,1,1,0,0,0,0
Liberia,30/07/2015,5636,1879,3151,10666,0,0,0,4806
Nigeria,31/07/2015,0,1,19,20,0,1,7,8
Senegal,31/07/2015,0,0,1,1,0,0,0,0
United States of America,31/07/2015,0,0,4,4,0,0,1,1
Liberia,31/07/2015,0,0,6,6,0,0,2,2
Sierra Leone,31/07/2015,4406,287,8694,13387,158,208,3585,3951
United Kingdom,31/07/2015,0,0,1,1,0,0,0,0
Guinea,31/07/2015,3,452,3326,3781,0,452,2069,2521
Spain,31/07/2015,0,0,1,1,0,0,0,0
Italy,31/07/2015,0,0,1,1,0,0,0,0
Liberia,31/07/2015,5636,1879,3151,10666,0,0,0,4806
Mali,31/07/2015,0,1,7,8,0,0,0,6
United Kingdom,3/08/2015,0,0,1,1,0,0,0,0
Liberia,3/08/2015,0,0,6,6,0,0,2,2
Sierra Leone,3/08/2015,4420,287,8695,13402,158,208,3585,3951
Italy,3/08/2015,0,0,1,1,0,0,0,0
United States of America,3/08/2015,0,0,4,4,0,0,1,1
Nigeria,3/08/2015,0,1,19,20,0,1,7,8
Liberia,3/08/2015,5636,1879,3151,10666,0,0,0,4806
Guinea,3/08/2015,7,452,3327,3786,0,452,2070,2522
Spain,3/08/2015,0,0,1,1,0,0,0,0
Senegal,3/08/2015,0,0,1,1,0,0,0,0
Mali,3/08/2015,0,1,7,8,0,0,0,6
Spain,4/08/2015,0,0,1,1,0,0,0,0
Sierra Leone,4/08/2015,4424,287,8695,13406,158,208,3585,3951
Liberia,4/08/2015,5636,1879,3151,10666,0,0,0,4806
United Kingdom,4/08/2015,0,0,1,1,0,0,0,0
Italy,4/08/2015,0,0,1,1,0,0,0,0
United States of America,4/08/2015,0,0,4,4,0,0,1,1
Senegal,4/08/2015,0,0,1,1,0,0,0,0
Mali,4/08/2015,0,1,7,8,0,0,0,6
Nigeria,4/08/2015,0,1,19,20,0,1,7,8
Guinea,4/08/2015,5,452,3327,3784,0,452,2070,2522
Liberia,4/08/2015,0,0,6,6,0,0,2,2
Guinea,5/08/2015,5,452,3327,3784,0,452,2070,2522
Spain,5/08/2015,0,0,1,1,0,0,0,0
Mali,5/08/2015,0,1,7,8,0,0,0,6
Sierra Leone,5/08/2015,4424,287,8695,13406,158,208,3585,3951
Liberia,5/08/2015,5636,1879,3151,10666,0,0,0,4806
Italy,5/08/2015,0,0,1,1,0,0,0,0
Senegal,5/08/2015,0,0,1,1,0,0,0,0
Liberia,5/08/2015,0,0,6,6,0,0,2,2
United States of America,5/08/2015,0,0,4,4,0,0,1,1
United Kingdom,5/08/2015,0,0,1,1,0,0,0,0
Nigeria,5/08/2015,0,1,19,20,0,1,7,8
Spain,6/08/2015,0,0,1,1,0,0,0,0
Guinea,6/08/2015,11,452,3329,3792,0,452,2072,2524
Senegal,6/08/2015,0,0,1,1,0,0,0,0
Mali,6/08/2015,0,1,7,8,0,0,0,6
Nigeria,6/08/2015,0,1,19,20,0,1,7,8
United Kingdom,6/08/2015,0,0,1,1,0,0,0,0
Sierra Leone,6/08/2015,4443,287,8696,13426,158,208,3585,3951
Liberia,6/08/2015,5636,1879,3151,10666,0,0,0,4806
Liberia,6/08/2015,0,0,6,6,0,0,2,2
United States of America,6/08/2015,0,0,4,4,0,0,1,1
Italy,6/08/2015,0,0,1,1,0,0,0,0
Liberia,7/08/2015,0,0,6,6,0,0,2,2
Spain,7/08/2015,0,0,1,1,0,0,0,0
Sierra Leone,7/08/2015,4445,287,8696,13428,158,208,3585,3951
United States of America,7/08/2015,0,0,4,4,0,0,1,1
Liberia,7/08/2015,5636,1879,3151,10666,0,0,0,4806
Guinea,7/08/2015,14,452,3329,3795,0,452,2072,2524
Senegal,7/08/2015,0,0,1,1,0,0,0,0
United Kingdom,7/08/2015,0,0,1,1,0,0,0,0
Nigeria,7/08/2015,0,1,19,20,0,1,7,8
Italy,7/08/2015,0,0,1,1,0,0,0,0
Mali,7/08/2015,0,1,7,8,0,0,0,6
Liberia,10/08/2015,0,0,6,6,0,0,2,2
United Kingdom,10/08/2015,0,0,1,1,0,0,0,0
Sierra Leone,10/08/2015,4481,287,8697,13465,158,208,3585,3951
Senegal,10/08/2015,0,0,1,1,0,0,0,0
Liberia,10/08/2015,5636,1879,3151,10666,0,0,0,4806
Spain,10/08/2015,0,0,1,1,0,0,0,0
Guinea,10/08/2015,10,452,3329,3791,0,452,2072,2524
Mali,10/08/2015,0,1,7,8,0,0,0,6
United States of America,10/08/2015,0,0,4,4,0,0,1,1
Italy,10/08/2015,0,0,1,1,0,0,0,0
Nigeria,10/08/2015,0,1,19,20,0,1,7,8
Spain,11/08/2015,0,0,1,1,0,0,0,0
Guinea,11/08/2015,6,452,3329,3787,0,452,2072,2524
Italy,11/08/2015,0,0,1,1,0,0,0,0
Liberia,11/08/2015,0,0,6,6,0,0,2,2
United States of America,11/08/2015,0,0,4,4,0,0,1,1
Sierra Leone,11/08/2015,4486,287,8697,13470,158,208,3585,3951
Senegal,11/08/2015,0,0,1,1,0,0,0,0
Nigeria,11/08/2015,0,1,19,20,0,1,7,8
United Kingdom,11/08/2015,0,0,1,1,0,0,0,0
Mali,11/08/2015,0,1,7,8,0,0,0,6
Liberia,11/08/2015,5636,1879,3151,10666,0,0,0,4806
Liberia,12/08/2015,0,0,6,6,0,0,2,2
Spain,12/08/2015,0,0,1,1,0,0,0,0
United Kingdom,12/08/2015,0,0,1,1,0,0,0,0
Nigeria,12/08/2015,0,1,19,20,0,1,7,8
United States of America,12/08/2015,0,0,4,4,0,0,1,1
Italy,12/08/2015,0,0,1,1,0,0,0,0
Mali,12/08/2015,0,1,7,8,0,0,0,6
Liberia,12/08/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,12/08/2015,0,0,1,1,0,0,0,0
Guinea,12/08/2015,6,452,3329,3787,0,452,2072,2524
Sierra Leone,12/08/2015,4486,287,8697,13470,158,208,3585,3951
Senegal,13/08/2015,0,0,1,1,0,0,0,0
Guinea,13/08/2015,10,452,3330,3792,0,452,2072,2524
Sierra Leone,13/08/2015,4500,287,8697,13484,158,208,3585,3951
Italy,13/08/2015,0,0,1,1,0,0,0,0
Spain,13/08/2015,0,0,1,1,0,0,0,0
United Kingdom,13/08/2015,0,0,1,1,0,0,0,0
Mali,13/08/2015,0,1,7,8,0,0,0,6
United States of America,13/08/2015,0,0,4,4,0,0,1,1
Nigeria,13/08/2015,0,1,19,20,0,1,7,8
Liberia,13/08/2015,0,0,6,6,0,0,2,2
Liberia,13/08/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,14/08/2015,0,0,1,1,0,0,0,0
Mali,14/08/2015,0,1,7,8,0,0,0,6
Spain,14/08/2015,0,0,1,1,0,0,0,0
Nigeria,14/08/2015,0,1,19,20,0,1,7,8
United States of America,14/08/2015,0,0,4,4,0,0,1,1
Italy,14/08/2015,0,0,1,1,0,0,0,0
Guinea,14/08/2015,9,452,3330,3791,0,452,2072,2524
Sierra Leone,14/08/2015,4501,287,8697,13485,158,208,3586,3952
Liberia,14/08/2015,0,0,6,6,0,0,2,2
Liberia,14/08/2015,5636,1879,3151,10666,0,0,0,4806
United Kingdom,14/08/2015,0,0,1,1,0,0,0,0
Guinea,17/08/2015,6,452,3332,3790,0,452,2072,2524
Senegal,17/08/2015,0,0,1,1,0,0,0,0
Liberia,17/08/2015,0,0,6,6,0,0,2,2
Spain,17/08/2015,0,0,1,1,0,0,0,0
Sierra Leone,17/08/2015,4505,287,8697,13489,158,208,3586,3952
Italy,17/08/2015,0,0,1,1,0,0,0,0
United States of America,17/08/2015,0,0,4,4,0,0,1,1
Nigeria,17/08/2015,0,1,19,20,0,1,7,8
Liberia,17/08/2015,5636,1879,3151,10666,0,0,0,4806
Mali,17/08/2015,0,1,7,8,0,0,0,6
United Kingdom,17/08/2015,0,0,1,1,0,0,0,0
United Kingdom,18/08/2015,0,0,1,1,0,0,0,0
Spain,18/08/2015,0,0,1,1,0,0,0,0
Sierra Leone,18/08/2015,4510,287,8697,13494,158,208,3586,3952
Italy,18/08/2015,0,0,1,1,0,0,0,0
Liberia,18/08/2015,5636,1879,3151,10666,0,0,0,4806
Guinea,18/08/2015,2,452,3332,3786,0,452,2072,2524
United States of America,18/08/2015,0,0,4,4,0,0,1,1
Senegal,18/08/2015,0,0,1,1,0,0,0,0
Nigeria,18/08/2015,0,1,19,20,0,1,7,8
Liberia,18/08/2015,0,0,6,6,0,0,2,2
Mali,18/08/2015,0,1,7,8,0,0,0,6
Liberia,19/08/2015,0,0,6,6,0,0,2,2
Italy,19/08/2015,0,0,1,1,0,0,0,0
Senegal,19/08/2015,0,0,1,1,0,0,0,0
Nigeria,19/08/2015,0,1,19,20,0,1,7,8
Spain,19/08/2015,0,0,1,1,0,0,0,0
Guinea,19/08/2015,2,452,3332,3786,0,452,2072,2524
United Kingdom,19/08/2015,0,0,1,1,0,0,0,0
Mali,19/08/2015,0,1,7,8,0,0,0,6
Sierra Leone,19/08/2015,4510,287,8697,13494,158,208,3586,3952
Liberia,19/08/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,19/08/2015,0,0,4,4,0,0,1,1
Senegal,20/08/2015,0,0,1,1,0,0,0,0
Guinea,20/08/2015,6,452,3334,3792,0,452,2074,2526
Liberia,20/08/2015,5636,1879,3151,10666,0,0,0,4806
Spain,20/08/2015,0,0,1,1,0,0,0,0
Mali,20/08/2015,0,1,7,8,0,0,0,6
Nigeria,20/08/2015,0,1,19,20,0,1,7,8
United Kingdom,20/08/2015,0,0,1,1,0,0,0,0
Italy,20/08/2015,0,0,1,1,0,0,0,0
Sierra Leone,20/08/2015,4534,287,8697,13518,158,208,3586,3952
United States of America,20/08/2015,0,0,4,4,0,0,1,1
Liberia,20/08/2015,0,0,6,6,0,0,2,2
Senegal,21/08/2015,0,0,1,1,0,0,0,0
Italy,21/08/2015,0,0,1,1,0,0,0,0
Liberia,21/08/2015,0,0,6,6,0,0,2,2
Spain,21/08/2015,0,0,1,1,0,0,0,0
United States of America,21/08/2015,0,0,4,4,0,0,1,1
Guinea,21/08/2015,9,452,3334,3795,0,452,2074,2526
Liberia,21/08/2015,5636,1879,3151,10666,0,0,0,4806
Nigeria,21/08/2015,0,1,19,20,0,1,7,8
Mali,21/08/2015,0,1,7,8,0,0,0,6
Sierra Leone,21/08/2015,4549,287,8697,13533,158,208,3586,3952
United Kingdom,21/08/2015,0,0,1,1,0,0,0,0
Liberia,24/08/2015,0,0,6,6,0,0,2,2
Senegal,24/08/2015,0,0,1,1,0,0,0,0
Guinea,24/08/2015,4,452,3334,3790,0,452,2075,2527
United Kingdom,24/08/2015,0,0,1,1,0,0,0,0
Mali,24/08/2015,0,1,7,8,0,0,0,6
Spain,24/08/2015,0,0,1,1,0,0,0,0
Nigeria,24/08/2015,0,1,19,20,0,1,7,8
Italy,24/08/2015,0,0,1,1,0,0,0,0
United States of America,24/08/2015,0,0,4,4,0,0,1,1
Liberia,24/08/2015,5636,1879,3151,10666,0,0,0,4806
Sierra Leone,24/08/2015,4554,287,8697,13538,158,208,3586,3952
Italy,25/08/2015,0,0,1,1,0,0,0,0
Senegal,25/08/2015,0,0,1,1,0,0,0,0
United States of America,25/08/2015,0,0,4,4,0,0,1,1
Liberia,25/08/2015,5636,1879,3151,10666,0,0,0,4806
Liberia,25/08/2015,0,0,6,6,0,0,2,2
Spain,25/08/2015,0,0,1,1,0,0,0,0
Sierra Leone,25/08/2015,4557,287,8697,13541,158,208,3586,3952
Mali,25/08/2015,0,1,7,8,0,0,0,6
Nigeria,25/08/2015,0,1,19,20,0,1,7,8
Guinea,25/08/2015,5,452,3335,3792,0,452,2075,2527
United Kingdom,25/08/2015,0,0,1,1,0,0,0,0
Liberia,26/08/2015,0,0,6,6,0,0,2,2
Mali,26/08/2015,0,1,7,8,0,0,0,6
United States of America,26/08/2015,0,0,4,4,0,0,1,1
Italy,26/08/2015,0,0,1,1,0,0,0,0
Nigeria,26/08/2015,0,1,19,20,0,1,7,8
Sierra Leone,26/08/2015,4557,287,8697,13541,158,208,3586,3952
Spain,26/08/2015,0,0,1,1,0,0,0,0
Guinea,26/08/2015,5,452,3335,3792,0,452,2075,2527
United Kingdom,26/08/2015,0,0,1,1,0,0,0,0
Senegal,26/08/2015,0,0,1,1,0,0,0,0
Liberia,26/08/2015,5636,1879,3151,10666,0,0,0,4806
Liberia,27/08/2015,0,0,6,6,0,0,2,2
Mali,27/08/2015,0,1,7,8,0,0,0,6
Nigeria,27/08/2015,0,1,19,20,0,1,7,8
Guinea,27/08/2015,9,452,3336,3797,0,452,2076,2528
Italy,27/08/2015,0,0,1,1,0,0,0,0
Spain,27/08/2015,0,0,1,1,0,0,0,0
Sierra Leone,27/08/2015,4598,287,8697,13582,158,208,3586,3952
Liberia,27/08/2015,5636,1879,3151,10666,0,0,0,4806
United Kingdom,27/08/2015,0,0,1,1,0,0,0,0
Senegal,27/08/2015,0,0,1,1,0,0,0,0
United States of America,27/08/2015,0,0,4,4,0,0,1,1
Liberia,28/08/2015,5636,1879,3151,10666,0,0,0,4806
Mali,28/08/2015,0,1,7,8,0,0,0,6
United States of America,28/08/2015,0,0,4,4,0,0,1,1
Spain,28/08/2015,0,0,1,1,0,0,0,0
Senegal,28/08/2015,0,0,1,1,0,0,0,0
Liberia,28/08/2015,0,0,6,6,0,0,2,2
Nigeria,28/08/2015,0,1,19,20,0,1,7,8
Italy,28/08/2015,0,0,1,1,0,0,0,0
Guinea,28/08/2015,9,452,3336,3797,0,452,2076,2528
United Kingdom,28/08/2015,0,0,1,1,0,0,0,0
Sierra Leone,28/08/2015,4602,287,8697,13586,158,208,3586,3952
Mali,31/08/2015,0,1,7,8,0,0,0,6
Liberia,31/08/2015,0,0,6,6,0,0,2,2
Guinea,31/08/2015,1,452,3337,3790,0,452,2076,2528
Sierra Leone,31/08/2015,4618,287,8698,13603,158,208,3587,3953
Nigeria,31/08/2015,0,1,19,20,0,1,7,8
Senegal,31/08/2015,0,0,1,1,0,0,0,0
Liberia,31/08/2015,5636,1879,3151,10666,0,0,0,4806
Spain,31/08/2015,0,0,1,1,0,0,0,0
United States of America,31/08/2015,0,0,4,4,0,0,1,1
United Kingdom,31/08/2015,0,0,1,1,0,0,0,0
Italy,31/08/2015,0,0,1,1,0,0,0,0
Spain,1/09/2015,0,0,1,1,0,0,0,0
Guinea,1/09/2015,3,452,3337,3792,0,452,2077,2529
Liberia,1/09/2015,5636,1879,3151,10666,0,0,0,4806
Sierra Leone,1/09/2015,4624,287,8698,13609,158,208,3587,3953
United States of America,1/09/2015,0,0,4,4,0,0,1,1
Liberia,1/09/2015,0,0,6,6,0,0,2,2
Mali,1/09/2015,0,1,7,8,0,0,0,6
Italy,1/09/2015,0,0,1,1,0,0,0,0
United Kingdom,1/09/2015,0,0,1,1,0,0,0,0
Senegal,1/09/2015,0,0,1,1,0,0,0,0
Nigeria,1/09/2015,0,1,19,20,0,1,7,8
Sierra Leone,2/09/2015,4624,287,8698,13609,158,208,3587,3953
Mali,2/09/2015,0,1,7,8,0,0,0,6
United States of America,2/09/2015,0,0,4,4,0,0,1,1
United Kingdom,2/09/2015,0,0,1,1,0,0,0,0
Guinea,2/09/2015,3,452,3337,3792,0,452,2077,2529
Liberia,2/09/2015,5636,1879,3151,10666,0,0,0,4806
Spain,2/09/2015,0,0,1,1,0,0,0,0
Senegal,2/09/2015,0,0,1,1,0,0,0,0
Italy,2/09/2015,0,0,1,1,0,0,0,0
Nigeria,2/09/2015,0,1,19,20,0,1,7,8
Liberia,2/09/2015,0,0,6,6,0,0,2,2
Italy,3/09/2015,0,0,1,1,0,0,0,0
Spain,3/09/2015,0,0,1,1,0,0,0,0
Mali,3/09/2015,0,1,7,8,0,0,0,6
United States of America,3/09/2015,0,0,4,4,0,0,1,1
Guinea,3/09/2015,2,452,3338,3792,0,452,2077,2529
Senegal,3/09/2015,0,0,1,1,0,0,0,0
United Kingdom,3/09/2015,0,0,1,1,0,0,0,0
Liberia,3/09/2015,5636,1879,3151,10666,0,0,0,4806
Nigeria,3/09/2015,0,1,19,20,0,1,7,8
Liberia,3/09/2015,0,0,6,6,0,0,2,2
Sierra Leone,3/09/2015,4653,287,8698,13638,158,208,3587,3953
Spain,4/09/2015,0,0,1,1,0,0,0,0
United States of America,4/09/2015,0,0,4,4,0,0,1,1
Italy,4/09/2015,0,0,1,1,0,0,0,0
Liberia,4/09/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,4/09/2015,0,0,1,1,0,0,0,0
Nigeria,4/09/2015,0,1,19,20,0,1,7,8
Guinea,4/09/2015,2,452,3338,3792,0,452,2077,2529
Sierra Leone,4/09/2015,4654,287,8698,13639,158,208,3587,3953
Liberia,4/09/2015,0,0,6,6,0,0,2,2
United Kingdom,4/09/2015,0,0,1,1,0,0,0,0
Mali,4/09/2015,0,1,7,8,0,0,0,6
Nigeria,7/09/2015,0,1,19,20,0,1,7,8
Mali,7/09/2015,0,1,7,8,0,0,0,6
Guinea,7/09/2015,3,452,3338,3793,0,452,2078,2530
Liberia,7/09/2015,0,0,6,6,0,0,2,2
Senegal,7/09/2015,0,0,1,1,0,0,0,0
Italy,7/09/2015,0,0,1,1,0,0,0,0
Spain,7/09/2015,0,0,1,1,0,0,0,0
United States of America,7/09/2015,0,0,4,4,0,0,1,1
United Kingdom,7/09/2015,0,0,1,1,0,0,0,0
Sierra Leone,7/09/2015,4684,287,8699,13670,158,208,3587,3953
Liberia,7/09/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,8/09/2015,0,0,1,1,0,0,0,0
Liberia,8/09/2015,0,0,6,6,0,0,2,2
Nigeria,8/09/2015,0,1,19,20,0,1,7,8
Guinea,8/09/2015,2,452,3338,3792,0,452,2078,2530
United States of America,8/09/2015,0,0,4,4,0,0,1,1
Sierra Leone,8/09/2015,4697,287,8699,13683,158,208,3587,3953
United Kingdom,8/09/2015,0,0,1,1,0,0,0,0
Mali,8/09/2015,0,1,7,8,0,0,0,6
Italy,8/09/2015,0,0,1,1,0,0,0,0
Liberia,8/09/2015,5636,1879,3151,10666,0,0,0,4806
Spain,8/09/2015,0,0,1,1,0,0,0,0
Sierra Leone,9/09/2015,4697,287,8699,13683,158,208,3587,3953
Italy,9/09/2015,0,0,1,1,0,0,0,0
United Kingdom,9/09/2015,0,0,1,1,0,0,0,0
Senegal,9/09/2015,0,0,1,1,0,0,0,0
Guinea,9/09/2015,2,452,3338,3792,0,452,2078,2530
Liberia,9/09/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,9/09/2015,0,0,4,4,0,0,1,1
